day1_temp,day1_humid,day1_windspd,day2_temp,day2_humid,day2_windspd,day3_temp,day3_humid,day3_windspd,day4_temp,day4_humid,day4_windspd,day5_temp,day5_humid,day5_windspd,y_day6_temp,y_change
15.0,0.73,1.9,12.1,0.48,4.1,12.8,0.42,3.4,8.2,0.8,3.1,9.6,0.9,3.3,9.5,0
13.0,0.47,4.5,10.3,0.37,3.4,9.9,0.4,3.1,12.5,0.55,3.1,13.8,0.52,3.4,13.3,0
11.1,0.44,3.4,12.3,0.7,2.2,15.2,0.44,3.9,13.0,0.74,1.4,8.2,0.88,2.4,8.4,1
12.3,0.66,2.1,12.3,0.57,2.9,11.6,0.42,2.2,13.4,0.37,5.3,13.8,0.38,3.4,14.6,1
12.1,0.73,4.4,11.8,0.82,2.9,8.6,0.89,3.1,11.0,0.62,2.0,10.6,0.65,2.1,11.7,1
13.0,0.4,2.8,13.3,0.45,3.1,12.0,0.61,2.6,13.2,0.41,1.7,15.6,0.42,4.1,15.2,0
15.8,0.52,4.4,18.7,0.45,2.4,13.8,0.87,3.6,13.6,0.87,3.6,14.5,0.61,4.6,19.7,1
19.6,0.62,1.2,20.6,0.46,1.9,19.7,0.67,1.9,19.1,0.6,2.4,16.8,0.65,2.7,18.1,1
15.4,0.85,3.6,16.8,0.82,3.1,17.9,0.52,2.2,18.1,0.78,2.1,20.4,0.66,2.9,20.2,0
20.8,0.59,2.4,22.1,0.48,2.2,23.1,0.59,3.4,19.9,0.8,3.8,19.6,0.73,2.9,16.8,0
13.6,0.78,3.3,13.5,0.73,2.6,16.0,0.68,4.7,13.4,0.78,2.4,15.1,0.66,0.5,14.7,0
15.0,0.66,3.1,15.4,0.73,1.3,17.3,0.66,2.4,17.8,0.69,3.6,15.5,0.86,3.1,19.0,1
18.4,0.73,3.6,18.0,0.7,2.2,19.2,0.51,2.4,20.0,0.53,2.8,19.3,0.62,2.4,20.5,1
16.6,0.41,4.8,16.1,0.44,2.9,15.6,0.44,2.9,16.1,0.5,2.1,14.1,0.78,3.3,18.6,1
16.5,0.75,2.9,14.4,0.73,1.4,14.9,0.67,2.0,13.4,0.82,3.6,15.6,0.79,2.1,16.2,1
15.3,0.6,1.7,14.9,0.71,1.9,15.2,0.71,2.7,18.6,0.65,1.9,17.7,0.85,2.7,19.7,1
18.1,0.61,4.6,15.7,0.64,2.7,16.8,0.66,2.4,14.8,0.87,3.1,17.5,0.66,1.7,15.7,0
17.0,0.77,2.1,17.5,0.76,1.9,16.2,0.85,1.4,17.3,0.87,3.1,13.4,0.7,3.8,12.9,0
15.0,0.69,1.4,14.5,0.76,0.7,14.8,0.83,1.7,12.8,0.85,2.4,11.2,0.87,0.5,13.2,1
14.2,0.79,3.6,13.9,0.71,2.1,14.3,0.68,1.7,11.8,0.67,2.4,10.5,0.72,5.3,12.0,1
11.6,0.7,6.0,11.4,0.73,4.1,13.6,0.66,1.9,12.7,0.79,1.9,12.5,0.87,1.4,12.6,1
12.4,0.83,2.2,14.4,0.73,7.4,16.2,0.68,7.9,15.4,0.82,6.3,11.0,0.82,2.0,12.4,1
13.6,0.73,5.3,13.6,0.7,3.9,9.1,0.66,2.6,7.4,0.75,1.9,8.4,0.8,1.0,8.8,1
7.4,0.7,1.7,5.4,0.63,1.2,6.2,0.83,2.1,10.2,0.89,3.8,12.0,0.82,3.3,13.1,1
11.3,0.76,2.1,10.0,0.74,1.9,11.9,0.86,1.5,11.6,0.92,1.7,12.1,0.9,2.6,11.6,0
11.3,0.9,1.5,7.6,0.72,2.5,12.7,0.87,2.4,10.4,0.87,1.5,7.1,0.82,1.4,9.5,1
12.2,0.93,1.5,10.4,0.82,2.4,7.8,0.83,1.4,5.3,0.85,1.2,6.0,0.84,0.8,7.9,1
4.9,0.72,1.7,2.4,0.7,2.4,3.4,0.76,2.8,4.6,0.89,1.0,11.1,0.92,5.1,10.5,0
9.1,0.71,1.5,6.2,0.84,1.9,8.2,0.62,3.1,5.6,0.79,4.1,5.4,0.52,4.1,6.0,1
8.5,0.61,4.3,6.8,0.69,3.9,2.4,0.6,1.5,0.4,0.59,3.3,-1.0,0.82,1.9,-0.8,1
0.5,0.45,3.1,4.9,0.73,3.6,6.6,0.42,3.4,0.4,0.57,1.9,0.7,0.57,1.5,-0.8,0
6.8,0.51,5.3,0.7,0.72,1.4,2.4,0.75,1.5,1.1,0.76,1.7,0.2,0.75,1.5,-1.8,0
3.3,0.9,1.9,1.9,0.5,4.1,0.8,0.45,4.1,-0.5,0.74,1.5,2.1,0.92,1.4,2.8,1
-0.4,0.88,1.4,1.7,0.82,2.3,2.0,0.85,2.0,1.9,0.79,3.6,1.7,0.83,3.6,2.3,1
2.4,0.9,2.3,1.2,0.83,2.1,0.4,0.87,1.7,-0.1,0.75,2.9,-3.7,0.84,1.0,2.4,1
1.2,0.88,1.7,1.8,0.88,0.7,0.5,0.89,0.3,-2.0,0.88,0.2,-4.4,0.94,0.7,-1.5,1
0.6,0.89,0.5,-3.0,0.88,0.3,0.9,0.79,0.8,-1.0,0.82,1.3,-0.2,0.51,5.8,-4.9,0
-5.3,0.67,5.3,-9.9,0.68,2.7,-7.6,0.79,1.3,-5.4,0.82,2.4,-6.5,0.75,3.1,-8.8,0
-8.9,0.81,1.9,-10.3,0.75,4.1,-7.0,0.66,9.4,-12.0,0.66,2.4,-15.1,0.72,1.6,-4.3,1
-9.0,0.69,1.2,-10.1,0.88,1.2,-11.4,0.86,0.2,-11.5,0.85,0.5,-4.8,0.9,0.2,-4.5,1
-6.0,0.9,0.3,-4.1,0.9,0.8,-3.2,0.95,0.3,-5.5,0.93,1.3,-2.4,0.93,0.7,3.1,1
4.1,0.91,2.3,4.1,0.94,3.1,3.7,0.88,3.8,3.0,0.94,1.2,3.9,0.91,2.2,-0.3,0
0.5,0.94,1.5,1.0,0.85,0.8,-0.7,0.92,1.4,-2.3,0.75,4.8,-5.3,0.8,7.2,-4.2,1
-5.2,0.77,4.3,-4.9,0.75,3.4,-2.6,0.92,2.1,-0.2,0.59,3.8,-4.3,0.79,1.9,-2.1,1
-0.6,0.89,3.1,4.8,0.93,2.4,4.9,0.92,2.6,2.7,0.92,2.9,4.3,0.87,4.5,2.9,0
0.1,0.83,2.0,3.8,0.77,1.5,4.5,0.9,2.2,3.7,0.59,3.4,-1.1,0.82,4.1,-0.8,1
-0.5,0.65,3.4,-4.6,0.78,1.0,0.5,0.71,1.2,3.5,0.75,2.2,3.5,0.78,0.9,2.2,0
-0.2,0.41,2.4,-5.0,0.48,2.7,-3.5,0.53,2.2,0.7,0.91,3.6,1.1,0.65,2.1,-2.0,0
-2.1,0.64,1.5,-1.7,0.82,4.5,-0.3,0.78,0.7,-1.3,0.73,4.5,-0.6,0.51,2.9,-2.0,0
-2.8,0.63,1.5,2.4,0.73,1.4,3.1,0.59,5.0,0.5,0.85,4.5,0.6,0.55,3.9,1.8,1
4.6,0.59,5.8,2.4,0.44,2.6,3.7,0.7,4.4,4.6,0.73,3.1,1.9,0.51,5.1,-1.7,0
0.3,0.46,1.9,-0.1,0.58,2.9,0.5,0.88,1.0,2.4,0.91,2.2,4.5,0.88,2.6,3.3,0
2.6,0.56,4.3,3.9,0.5,4.1,2.8,0.49,3.2,0.2,0.56,2.1,1.9,0.75,1.9,5.6,1
3.6,0.8,3.6,6.5,0.71,2.1,5.1,0.74,2.2,2.0,0.81,1.5,2.8,0.82,1.0,4.3,1
7.2,0.87,0.7,7.7,0.85,1.7,8.0,0.72,2.1,4.4,0.67,2.2,6.9,0.6,2.7,7.9,1
6.6,0.69,1.9,5.1,0.68,1.7,5.1,0.61,2.7,6.1,0.56,2.6,4.7,0.71,3.7,6.3,1
5.8,0.69,4.5,7.3,0.47,3.4,7.1,0.38,3.3,6.7,0.5,2.0,6.5,0.61,2.6,8.1,1
7.3,0.76,1.7,7.7,0.77,2.6,7.5,0.88,4.8,11.5,0.63,3.9,12.5,0.55,1.7,7.5,0
6.8,0.76,3.1,6.4,0.86,2.1,7.0,0.63,4.1,6.1,0.82,4.1,6.8,0.76,3.6,7.9,1
8.7,0.71,2.8,7.8,0.7,1.9,10.3,0.57,1.9,12.0,0.57,3.4,13.2,0.43,1.9,15.1,1
14.0,0.43,2.1,14.4,0.49,4.3,14.7,0.47,2.9,15.2,0.46,3.3,13.8,0.77,2.3,12.1,0
12.2,0.76,2.9,12.9,0.69,2.8,13.3,0.47,2.9,14.0,0.44,5.8,12.4,0.43,2.4,12.9,1
11.3,0.79,3.1,15.0,0.67,2.2,17.1,0.47,2.9,18.7,0.51,2.6,13.1,0.86,1.9,12.5,0
13.1,0.68,1.5,10.3,0.86,4.6,10.8,0.87,4.6,13.9,0.62,2.0,12.9,0.77,3.3,12.5,0
15.2,0.59,2.1,15.7,0.59,2.9,16.0,0.56,2.2,20.3,0.38,3.3,20.9,0.37,3.4,21.0,1
20.8,0.39,2.4,19.7,0.5,2.4,21.7,0.45,1.9,17.8,0.68,4.4,15.6,0.79,3.8,14.3,0
14.1,0.64,1.9,17.0,0.42,3.6,13.3,0.83,2.4,17.6,0.61,3.2,15.8,0.67,2.9,17.8,1
16.6,0.52,6.0,16.2,0.58,3.6,15.7,0.66,1.9,15.7,0.67,3.4,14.3,0.8,2.1,17.6,1
15.7,0.51,3.9,12.6,0.72,3.4,12.8,0.76,2.6,12.7,0.73,3.1,17.5,0.47,3.1,15.2,0
14.7,0.68,3.4,13.6,0.77,4.8,13.8,0.73,3.8,14.7,0.76,3.3,17.0,0.65,3.1,16.0,0
16.3,0.67,4.3,13.9,0.81,2.6,17.0,0.84,3.1,20.0,0.82,1.9,18.5,0.65,4.5,15.6,0
17.2,0.64,2.2,17.9,0.67,2.1,19.0,0.7,3.1,19.2,0.58,2.2,19.8,0.61,2.1,18.5,0
17.7,0.78,2.9,19.3,0.76,2.2,18.0,0.79,3.9,17.4,0.84,5.1,17.2,0.8,1.4,14.6,0
16.7,0.58,2.8,16.7,0.75,2.2,17.0,0.52,2.9,18.0,0.78,3.1,20.8,0.72,2.2,22.2,1
21.2,0.67,3.3,24.0,0.53,3.3,21.3,0.57,4.5,19.9,0.55,2.9,20.7,0.56,1.6,21.7,1
21.0,0.56,1.9,21.0,0.65,1.2,20.3,0.61,1.9,19.9,0.61,1.5,20.4,0.56,2.4,19.4,0
18.5,0.84,2.1,20.7,0.69,1.7,21.0,0.66,1.7,21.1,0.59,2.1,19.9,0.72,1.0,21.6,1
21.9,0.61,1.9,21.2,0.59,2.4,19.1,0.7,1.7,21.5,0.62,1.4,21.1,0.55,1.0,21.4,1
21.7,0.55,1.7,21.1,0.62,2.2,20.4,0.62,1.2,18.3,0.8,2.9,18.7,0.58,1.7,17.4,0
17.5,0.61,3.4,17.1,0.67,3.8,15.9,0.56,2.2,16.4,0.71,3.4,17.7,0.63,2.2,18.3,1
16.1,0.79,3.9,16.2,0.75,2.4,14.7,0.85,2.1,17.4,0.81,2.1,18.5,0.74,0.7,18.4,0
16.6,0.65,1.7,17.3,0.71,1.0,18.4,0.66,1.4,15.0,0.47,5.0,10.5,0.62,1.3,14.7,1
14.2,0.74,1.9,12.9,0.58,2.9,10.3,0.64,1.5,9.2,0.75,2.6,9.2,0.79,2.1,7.4,0
6.3,0.76,1.7,11.5,0.73,1.5,8.5,0.59,2.4,7.0,0.61,2.2,7.2,0.76,1.0,10.7,1
12.7,0.65,2.1,12.0,0.84,2.0,9.7,0.72,1.9,10.0,0.79,1.0,11.2,0.8,1.3,8.5,0
5.9,0.81,2.7,4.0,0.7,2.7,3.3,0.62,3.9,3.8,0.63,3.9,4.1,0.67,2.7,4.1,0
3.1,0.61,3.1,3.1,0.73,3.9,2.9,0.7,5.7,2.9,0.77,5.8,1.9,0.81,6.7,1.7,0
0.5,0.73,4.9,-0.1,0.7,4.1,-1.8,0.73,2.1,-0.3,0.86,1.4,0.6,0.86,1.7,0.3,0
3.7,0.89,4.3,5.1,0.71,5.0,4.1,0.88,2.4,7.4,0.67,3.9,3.2,0.7,1.7,2.9,0
0.7,0.78,0.5,-1.0,0.76,0.8,2.1,0.8,0.7,1.6,0.67,3.8,-1.6,0.78,1.7,-3.2,0
-1.2,0.78,0.9,-5.5,0.88,1.4,1.7,0.91,3.3,4.5,0.88,2.2,2.5,0.85,2.1,0.7,0
-4.4,0.72,3.8,-7.2,0.79,2.4,-7.1,0.85,3.9,-4.5,0.82,6.4,-1.8,0.79,5.1,0.8,1
1.8,0.9,1.2,2.2,0.9,1.0,0.1,0.78,1.5,-2.0,0.67,4.3,-1.3,0.67,2.4,-0.8,1
-2.6,0.81,4.9,-1.2,0.8,5.3,-0.7,0.81,6.5,0.7,0.87,3.1,2.4,0.81,3.6,-3.4,0
-1.4,0.88,4.6,0.2,0.84,5.3,-3.8,0.8,5.8,-2.8,0.82,4.8,-2.0,0.82,4.8,0.6,1
-0.3,0.86,3.6,-1.4,0.82,3.8,-2.2,0.78,4.1,-3.8,0.79,3.4,-5.1,0.78,1.7,-9.4,0
